amend
unamend
ecage
ecres
ecpow
ecrdet
ecsel
ecterm
ecterml
ecom
camppubf
census
electsch
freeelec
district
partrght
partreg
partprf
partprh
partunco
prtyduty
equalgr15
initiat
referen
compvote
votemin
voteres
voteun
cabsel
cabrest
cabpow
cabdiss
cabinet
execindp
pardon
hogdec
hogimm
hogpow
hogdiss
hogdlim
hosdec
hospow
hosdiss
comchief
invexe
hogage
hogrest
hoglegr
hogsucc
hogelect
hogterm
hogterml
hosstaff
hosage
hosrest
hosimm
hossucc
hoselect
hosterm
hosterml
civilmil
em
milcom
milrest
terror
war
judcrts4
milserv
atgen
depexec
execnum
fedrev
fedsep
access
seccess
mun
sub
custlaw
intlaw
intorgs
intrght
headforn
treatcon
treat
adage
adres
adsel
adterm
adtermn
illadmin
judcrts1
conage
conres
concop
consel
conterm
conlim
conpow
conrem
judcrts2
judind
judprec
judretir
judsal
jrem
interp
uncon
suppow
amparo
ordage
ordres
ordsel
ordterm
ordterml
judcrts5
levjud
judcrts7
judcrts6
jc
judcrts3
hocage
hocres
hocop
hocsel
hocterm
hocterml
lhage
lhrest
lhlead
lhspleg
lhquota
lhselect
lhseats
lhterm
lhtrmlim
legini
legsupr
divhouse
legapp
override
immunity
remleg
legrep
legdiss
exsess
legjoint
pubmin
quorum
session
recvote
assets
attend
income
profleg
pubmeet
uhage
uhrest
uhlead
uhspleg
uhquota
uhselect
uhseats
uhterm
uhtrmlim
balbudgt
budget
econplan
finance
orglaw
spend
tax
commit
housenum
stdcom
bank
cc
truthcom
medcom
hr
ombuds
radio
govmed
telecom
tv
